Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:26,23131523167,37,38,38,38,35,34,2649600,2649600,2649600,2649600,0.98,12.68,0.00,0.00,86.34,1971144,1743956,
01-01 00:00:27,24237729468,36,38,37,37,34,34,2649600,2649600,2649600,2649600,2.75,11.70,0.00,0.00,85.55,1971144,1743228,
01-01 00:00:28,25334284780,37,38,37,38,34,34,2649600,2649600,2649600,2649600,0.47,12.15,0.00,0.00,87.38,1971144,1724400,
01-01 00:00:29,26433120197,36,37,37,37,34,34,2649600,2649600,2649600,2649600,3.21,3.67,0.23,0.00,92.89,1971144,1724852,
01-01 00:00:30,27529510821,36,37,36,37,34,34,2649600,2649600,2649600,2649600,1.13,4.51,0.00,0.00,94.36,1971144,1725684,
01-01 00:00:31,28634780456,36,37,37,37,34,34,2649600,2649600,2649600,2649600,5.22,9.98,0.00,0.00,84.81,1971144,1719052,
01-01 00:00:32,29740205091,36,37,36,37,34,34,2649600,2649600,2649600,2649600,3.19,11.85,0.00,0.00,84.97,1971144,1718560,
01-01 00:00:33,30835263007,36,37,36,37,34,34,2649600,2649600,2649600,2649600,1.82,4.33,0.00,0.00,93.85,1971144,1718740,
01-01 00:00:34,31931535403,35,37,37,37,34,34,2649600,2649600,2649600,2649600,0.23,3.02,0.23,0.00,96.52,1971144,1718952,
01-01 00:00:36,33027413788,35,37,37,37,34,34,2649600,2649600,2649600,2649600,1.16,2.55,0.00,0.00,96.30,1971144,1719132,
01-01 00:00:37,34131606548,36,37,36,37,34,34,2649600,2649600,2649600,2649600,2.05,14.16,0.00,0.00,83.79,1971144,1718748,
01-01 00:00:38,35226371183,35,37,36,36,34,34,2649600,2649600,2649600,2649600,0.47,2.33,0.00,0.00,97.21,1971144,1718956,
01-01 00:00:39,36322249672,37,38,40,48,34,34,2649600,2649600,2649600,2649600,13.62,6.34,0.00,0.00,80.05,1971144,1718948,
01-01 00:00:40,37426031859,36,37,36,37,34,34,2649600,2649600,2649600,2649600,0.46,3.66,0.00,0.00,95.88,1971144,1718808,
01-01 00:00:41,38522050713,36,37,36,37,34,34,2649600,2649600,2649600,2649600,0.23,5.23,0.00,0.00,94.55,1971144,1718680,
01-01 00:00:42,39620744723,40,41,40,44,34,34,2649600,2649600,2649600,2649600,10.14,19.14,0.00,0.00,70.72,1971144,1692624,23984
01-01 00:00:43,40810521129,41,44,43,43,36,35,2649600,2649600,2649600,2649600,30.09,32.25,0.43,0.00,37.23,1971144,1565988,23984
01-01 00:00:44,41928834149,44,44,46,46,36,35,2649600,2649600,2649600,2649600,14.73,30.13,2.01,0.00,53.12,1971144,1529668,23984
01-01 00:00:46,43085278524,44,46,48,46,36,35,2649600,2649600,2649600,2649600,20.96,35.85,1.26,0.00,41.93,1971144,1490848,34160
01-01 00:00:47,44232571700,47,42,42,42,37,36,2649600,2649600,2649600,2649600,25.99,40.97,0.88,0.00,32.16,1971144,1482544,38864
01-01 00:00:48,45358124252,46,42,42,40,37,36,2649600,2649600,2649600,2649600,16.97,14.68,0.00,0.00,68.35,1971144,1487608,38848
01-01 00:00:49,46490409043,40,41,47,41,37,36,2649600,2649600,2649600,2649600,16.97,15.37,0.23,0.00,67.43,1971144,1488860,38800
01-01 00:00:50,47622343470,45,41,40,44,37,36,2649600,2649600,2649600,2649600,19.69,14.77,0.00,0.00,65.55,1971144,1490952,38716
01-01 00:00:51,48753674198,42,46,39,41,37,36,2649600,2649600,2649600,2649600,17.20,15.14,0.00,0.00,67.66,1971144,1491624,38636
01-01 00:00:52,49887093625,46,42,40,39,37,36,2649600,2649600,2649600,2649600,18.78,15.28,0.22,0.00,65.72,1971144,1491632,38616
01-01 00:00:54,51012352739,40,41,40,47,36,36,2649600,2649600,2649600,2649600,15.19,15.65,0.00,0.00,69.16,1971144,1489580,38648
01-01 00:00:55,52152736176,44,42,46,43,37,36,2649600,2649600,2649600,2649600,19.54,19.08,0.00,0.00,61.38,1971144,1471932,38508
01-01 00:00:56,53288117218,46,42,40,40,37,35,2649600,2649600,2649600,2649600,16.41,15.08,1.11,0.00,67.41,1971144,1471836,38696
01-01 00:00:57,54424324925,41,47,39,39,36,35,2649600,2649600,2649600,2649600,20.13,13.20,0.00,0.00,66.67,1971144,1471628,38488
01-01 00:00:58,55566067373,40,41,41,47,36,35,2649600,2649600,2649600,2649600,16.78,14.06,0.00,0.00,69.16,1971144,1470864,38780
01-01 00:00:59,56702393883,46,41,39,39,37,35,2649600,2649600,2649600,2649600,17.26,14.13,0.00,0.00,68.61,1971144,1471632,38720
01-01 00:01:00,57835768466,41,47,39,39,37,35,2649600,2649600,2649600,2649600,13.72,17.92,0.00,0.00,68.36,1971144,1471284,38552
01-01 00:01:02,58974265340,41,47,40,41,36,35,2649600,2649600,2649600,2649600,16.85,13.93,0.00,0.00,69.21,1971144,1471360,38908
01-01 00:01:03,60101381486,40,41,40,48,36,35,2649600,2649600,2649600,2649600,18.04,15.14,0.00,0.00,66.82,1971144,1471432,38904
01-01 00:01:04,61238334142,46,42,40,39,37,36,2649600,2649600,2649600,2649600,18.79,12.75,0.22,0.00,68.23,1971144,1471308,38684
01-01 00:01:05,62373692787,46,44,40,41,37,36,2649600,2649600,2649600,2649600,16.63,13.93,0.22,0.00,69.21,1971144,1471092,38676
01-01 00:01:06,63512477318,40,41,47,41,37,36,2649600,2649600,2649600,2649600,17.83,14.22,0.00,0.00,67.95,1971144,1471236,38520
01-01 00:01:07,64649462734,42,41,46,41,37,36,2649600,2649600,2649600,2649600,14.82,16.59,0.44,0.00,68.14,1971144,1471400,38816
01-01 00:01:08,65781167004,41,41,47,42,37,36,2649600,2649600,2649600,2649600,19.63,11.19,0.00,0.00,69.18,1971144,1471104,38528
01-01 00:01:09,66926556952,46,45,40,42,37,36,2649600,2649600,2649600,2649600,16.81,15.73,0.43,0.00,67.03,1971144,1470940,38904
01-01 00:01:11,68076823879,41,46,41,41,37,36,2649600,2649600,2649600,2649600,20.09,13.17,0.00,0.00,66.74,1971144,1471232,38792
01-01 00:01:12,69210315805,46,43,40,40,37,36,2649600,2649600,2649600,2649600,16.82,13.64,0.00,0.00,69.55,1971144,1471308,38692
01-01 00:01:13,70344161638,46,42,41,40,38,36,2649600,2649600,2649600,2649600,14.89,17.11,0.00,0.00,68.00,1971144,1471016,38908
01-01 00:01:14,71474706273,46,42,40,44,38,36,2649600,2649600,2649600,2649600,17.12,18.18,0.42,0.00,64.27,1971144,1470904,38736
01-01 00:01:15,72610085179,47,43,41,41,38,37,2649600,2649600,2649600,2649600,17.05,13.86,0.00,0.00,69.09,1971144,1474824,38780
01-01 00:01:16,73743136845,41,42,42,48,37,36,2649600,2649600,2649600,2649600,18.42,18.20,0.44,0.00,62.94,1971144,1474216,38656
01-01 00:01:17,74877246741,47,42,40,40,38,37,2649600,2649600,2649600,2649600,18.74,12.19,0.23,0.00,68.85,1971144,1474796,38716
01-01 00:01:19,76009077001,47,42,40,41,38,37,2649600,2649600,2649600,2649600,16.82,14.09,0.00,0.00,69.09,1971144,1474328,38788
01-01 00:01:20,77138964813,47,43,41,42,38,37,2649600,2649600,2649600,2649600,15.59,15.37,0.22,0.00,68.82,1971144,1474896,38728
01-01 00:01:21,78272106062,47,42,40,42,38,37,2649600,2649600,2649600,2649600,18.42,18.42,0.43,0.00,62.74,1971144,1474348,38844
01-01 00:01:22,79407348249,47,44,40,40,38,37,2649600,2649600,2649600,2649600,17.30,13.26,0.22,0.00,69.21,1971144,1474524,38920
01-01 00:01:23,80546973145,41,43,43,49,38,37,2649600,2649600,2649600,2649600,15.42,17.40,0.66,0.00,66.52,1971144,1475036,38620
01-01 00:01:24,81710535436,47,43,40,41,38,37,2649600,2649600,2649600,2649600,16.52,14.35,0.00,0.00,69.13,1971144,1474592,38676
01-01 00:01:25,82843384342,47,43,41,41,38,37,2649600,2649600,2649600,2649600,20.23,10.00,0.45,0.00,69.32,1971144,1474504,39116
01-01 00:01:27,83975766633,47,43,41,44,38,37,2649600,2649600,2649600,2649600,17.63,14.29,0.22,0.00,67.86,1971144,1474468,39044
01-01 00:01:28,85119957049,47,43,41,42,38,37,2649600,2649600,2649600,2649600,19.83,14.77,0.21,0.00,65.19,1971144,1474196,39068
01-01 00:01:29,86252565226,48,44,41,41,38,37,2649600,2649600,2649600,2649600,15.37,14.45,0.00,0.00,70.18,1971144,1474628,39052
01-01 00:01:30,87382475694,47,43,41,42,39,37,2649600,2649600,2649600,2649600,16.88,18.16,0.00,0.00,64.96,1971144,1474464,38912
01-01 00:01:31,88514672985,42,43,42,49,38,37,2649600,2649600,2649600,2649600,17.83,18.26,0.00,0.00,63.91,1971144,1474720,38648
01-01 00:01:32,89648586787,48,44,41,42,38,37,2649600,2649600,2649600,2649600,18.41,12.05,0.00,0.00,69.55,1971144,1474280,38932
01-01 00:01:33,90778565849,47,45,41,42,39,38,2649600,2649600,2649600,2649600,16.67,14.41,0.00,0.00,68.92,1971144,1474804,38776
01-01 00:01:34,91920880067,42,43,42,50,38,37,2649600,2649600,2649600,2649600,19.10,18.28,0.00,0.00,62.63,1971144,1474776,38776
01-01 00:01:36,93058125379,43,43,43,50,39,37,2649600,2649600,2649600,2649600,18.24,13.96,0.23,0.00,67.57,1971144,1474812,38668
01-01 00:01:37,94191581108,42,43,42,50,39,37,2649600,2649600,2649600,2649600,19.42,13.62,0.00,0.00,66.96,1971144,1474900,38632
01-01 00:01:38,95324441941,42,43,42,50,39,37,2649600,2649600,2649600,2649600,18.36,14.38,0.22,0.00,67.04,1971144,1474084,38912
01-01 00:01:39,96457552045,48,44,41,42,39,38,2649600,2649600,2649600,2649600,17.35,13.24,0.00,0.00,69.41,1971144,1474768,38912
01-01 00:01:40,97597963451,43,43,43,50,39,38,2649600,2649600,2649600,2649600,15.33,16.44,0.44,0.00,67.78,1971144,1474572,38976
01-01 00:01:41,98728346471,43,44,49,43,39,38,2649600,2649600,2649600,2649600,16.77,19.08,0.42,0.00,63.73,1971144,1474548,38752
01-01 00:01:42,99865465637,49,44,42,42,39,38,2649600,2649600,2649600,2649600,16.82,13.64,0.23,0.00,69.32,1971144,1475184,38820
01-01 00:01:44,101000706106,43,44,49,43,40,38,2649600,2649600,2649600,2649600,17.27,16.14,0.23,0.00,66.36,1971144,1478320,38708
01-01 00:01:45,102137146522,48,44,42,46,40,38,2649600,2649600,2649600,2649600,15.45,15.23,0.00,0.00,69.32,1971144,1477992,39024
01-01 00:01:46,103268626730,49,45,43,43,40,38,2649600,2649600,2649600,2649600,17.38,13.09,0.90,0.00,68.62,1971144,1478736,38908
01-01 00:01:47,104400946521,49,44,42,42,40,38,2649600,2649600,2649600,2649600,14.32,16.78,0.22,0.00,68.68,1971144,1478516,38876
01-01 00:01:48,105527630635,45,50,44,43,40,39,2649600,2649600,2649600,2649600,19.19,15.99,0.00,0.00,64.82,1971144,1478792,38840
01-01 00:01:49,106671265999,48,44,42,43,40,39,2649600,2649600,2649600,2649600,16.41,13.53,0.22,0.00,69.84,1971144,1478772,38868
01-01 00:01:50,107805214228,48,44,42,43,40,39,2649600,2649600,2649600,2649600,17.07,14.41,0.22,0.00,68.29,1971144,1478836,38936
01-01 00:01:51,108942832769,43,43,44,51,39,38,2649600,2649600,2649600,2649600,16.37,16.14,0.22,0.00,67.26,1971144,1479132,38608
01-01 00:01:53,110079215946,43,43,44,51,40,38,2649600,2649600,2649600,2649600,17.27,13.64,0.23,0.00,68.86,1971144,1479308,38744
01-01 00:01:54,111214514018,48,43,43,44,40,39,2649600,2649600,2649600,2649600,18.57,12.98,0.22,0.00,68.23,1971144,1479124,38852
01-01 00:01:55,112346904330,43,44,50,44,40,39,2649600,2649600,2649600,2649600,17.76,17.76,0.00,0.00,64.48,1971144,1478504,39048
01-01 00:01:56,113492904538,45,50,44,44,40,39,2649600,2649600,2649600,2649600,14.67,15.78,0.22,0.00,69.33,1971144,1478932,38876
