Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:20:53,1250228468220,74,73,73,84,68,66,2649600,2649600,2649600,2649600,18.34,26.38,1.01,0.00,54.27,1971144,1473088,38964
01-01 00:20:54,1251361420303,82,74,71,72,68,67,2649600,2649600,2649600,2649600,17.35,12.56,0.00,0.00,70.09,1971144,1473240,38564
01-01 00:20:55,1252494149313,81,74,71,73,68,67,2649600,2649600,2649600,2649600,16.59,15.49,0.00,0.00,67.92,1971144,1472872,38440
01-01 00:20:56,1253628477855,73,71,81,74,68,66,2649600,2649600,2649600,2649600,16.03,19.44,0.43,0.00,64.10,1971144,1473264,38812
01-01 00:20:57,1254770577698,74,72,82,74,68,66,2649600,2649600,2649600,2649600,17.97,17.53,0.43,0.00,64.07,1971144,1474524,38624
01-01 00:20:58,1255902365145,76,72,81,76,68,66,2649600,2649600,2649600,2649600,16.97,14.93,0.00,0.00,68.10,1971144,1475196,38500
01-01 00:20:59,1257038489989,74,71,81,73,68,66,2649600,2649600,2649600,2649600,16.40,14.81,0.46,0.00,68.34,1971144,1474796,38724
01-01 00:21:01,1258174331967,75,72,81,73,68,66,2649600,2649600,2649600,2649600,19.63,11.19,0.23,0.00,68.95,1971144,1474988,38548
01-01 00:21:02,1259305977904,73,72,81,76,68,66,2649600,2649600,2649600,2649600,16.28,14.91,0.00,0.00,68.81,1971144,1476060,38444
01-01 00:21:03,1260443191914,73,71,81,74,68,66,2649600,2649600,2649600,2649600,15.25,16.14,0.22,0.00,68.39,1971144,1476504,38672
01-01 00:21:04,1261580300299,75,71,74,83,67,66,2649600,2649600,2649600,2649600,16.05,18.22,0.43,0.00,65.29,1971144,1476264,38684
01-01 00:21:05,1262712047122,81,73,72,74,68,66,2649600,2649600,2649600,2649600,20.52,18.53,0.40,0.00,60.56,1971144,1476232,38820
01-01 00:21:06,1263842709674,72,71,73,83,67,66,2649600,2649600,2649600,2649600,16.59,17.47,0.66,0.00,65.28,1971144,1476228,38748
01-01 00:21:07,1264990915402,72,70,74,83,67,66,2649600,2649600,2649600,2649600,15.26,14.58,0.23,0.00,69.93,1971144,1475912,38672
01-01 00:21:09,1266130955714,75,81,73,74,67,66,2649600,2649600,2649600,2649600,18.86,12.73,0.00,0.00,68.41,1971144,1476768,38464
01-01 00:21:10,1267263925818,72,70,74,83,67,66,2649600,2649600,2649600,2649600,16.18,15.73,0.00,0.00,68.09,1971144,1476168,38672
01-01 00:21:11,1268398748370,75,80,76,72,67,66,2649600,2649600,2649600,2649600,14.74,16.78,0.23,0.00,68.25,1971144,1475964,38864
01-01 00:21:12,1269535810088,79,73,75,73,68,66,2649600,2649600,2649600,2649600,19.92,15.35,0.83,0.00,63.90,1971144,1476204,38784
01-01 00:21:13,1270666411650,75,81,72,72,68,66,2649600,2649600,2649600,2649600,16.74,13.99,0.00,0.00,69.27,1971144,1476668,38904
01-01 00:21:14,1271801803993,75,81,72,72,67,66,2649600,2649600,2649600,2649600,17.58,13.47,0.23,0.00,68.72,1971144,1475656,38780
01-01 00:21:15,1272935028420,73,79,74,76,67,66,2649600,2649600,2649600,2649600,19.13,12.30,0.23,0.00,68.34,1971144,1476036,38804
01-01 00:21:17,1274067034357,80,72,72,72,68,66,2649600,2649600,2649600,2649600,15.63,14.48,0.23,0.00,69.66,1971144,1475892,38828
01-01 00:21:18,1275196760138,80,71,73,71,68,66,2649600,2649600,2649600,2649600,16.19,15.52,0.22,0.00,68.07,1971144,1475936,38704
01-01 00:21:19,1276326969565,80,71,72,71,68,66,2649600,2649600,2649600,2649600,17.60,15.67,0.64,0.00,66.09,1971144,1476052,38660
01-01 00:21:20,1277460215606,73,70,81,73,68,66,2649600,2649600,2649600,2649600,21.62,12.23,0.00,0.00,66.16,1971144,1476052,38620
01-01 00:21:21,1278605157324,79,71,72,72,67,66,2649600,2649600,2649600,2649600,16.44,13.24,0.23,0.00,70.09,1971144,1476040,38808
01-01 00:21:22,1279739431595,72,70,74,82,67,66,2649600,2649600,2649600,2649600,17.83,12.64,0.23,0.00,69.30,1971144,1476136,38692
01-01 00:21:23,1280880664719,74,80,70,72,67,66,2649600,2649600,2649600,2649600,15.79,15.10,0.00,0.00,69.11,1971144,1476364,38484
01-01 00:21:24,1282017619510,72,70,71,82,67,66,2649600,2649600,2649600,2649600,15.58,19.58,0.63,0.00,64.21,1971144,1475964,38752
01-01 00:21:26,1283168622218,79,78,70,71,67,66,2649600,2649600,2649600,2649600,13.66,19.75,0.00,0.00,66.60,1971144,1476232,38652
01-01 00:21:27,1284300969301,74,79,72,71,67,66,2649600,2649600,2649600,2649600,17.67,15.73,0.22,0.00,66.38,1971144,1475768,38684
01-01 00:21:28,1285431926280,73,71,81,73,67,66,2649600,2649600,2649600,2649600,19.22,11.67,0.00,0.00,69.11,1971144,1475992,38540
01-01 00:21:29,1286570447217,75,80,72,72,67,66,2649600,2649600,2649600,2649600,15.75,15.07,0.00,0.00,69.18,1971144,1476056,38552
01-01 00:21:30,1287717285654,74,81,70,73,67,66,2649600,2649600,2649600,2649600,17.58,12.10,0.23,0.00,70.09,1971144,1475824,38612
01-01 00:21:31,1288859431904,80,71,70,71,67,66,2649600,2649600,2649600,2649600,19.87,10.15,0.22,0.00,69.76,1971144,1476204,38616
01-01 00:21:32,1289986991799,73,70,80,72,67,66,2649600,2649600,2649600,2649600,18.14,13.94,0.00,0.00,67.92,1971144,1476308,38632
01-01 00:21:34,1291115149455,72,70,72,80,67,66,2649600,2649600,2649600,2649600,15.22,16.74,1.09,0.00,66.96,1971144,1475852,38908
01-01 00:21:35,1292264727684,72,72,72,82,67,65,2649600,2649600,2649600,2649600,18.49,15.48,0.00,0.00,66.02,1971144,1475932,38516
01-01 00:21:36,1293397191641,74,80,70,71,67,66,2649600,2649600,2649600,2649600,18.51,13.09,0.00,0.00,68.40,1971144,1476080,38736
