Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:27,23976170563,74,73,75,75,67,65,2649600,2649600,2649600,2649600,5.94,13.86,0.00,0.00,80.20,1971144,1735396,
01-01 00:00:28,25072756031,74,76,74,76,66,65,2649600,2649600,2649600,2649600,2.68,9.15,0.00,0.00,88.17,1971144,1733968,
01-01 00:00:29,26180193270,74,73,73,75,66,65,2649600,2649600,2649600,2649600,2.76,17.93,0.23,0.00,79.08,1971144,1716268,
01-01 00:00:30,27276868322,74,72,73,74,66,65,2649600,2649600,2649600,2649600,0.69,4.16,0.00,0.00,95.15,1971144,1717496,
01-01 00:00:31,28373367124,72,71,72,73,66,65,2649600,2649600,2649600,2649600,0.69,3.45,0.00,0.00,95.86,1971144,1718068,
01-01 00:00:32,29473390769,72,73,74,76,66,64,2649600,2649600,2649600,2649600,5.69,10.25,0.00,0.00,84.05,1971144,1711196,
01-01 00:00:33,30577178685,71,71,72,73,66,64,2649600,2649600,2649600,2649600,4.23,11.80,0.00,0.00,83.96,1971144,1711244,
01-01 00:00:34,31674111497,71,70,71,72,65,64,2649600,2649600,2649600,2649600,1.34,5.36,0.00,0.00,93.30,1971144,1711612,
01-01 00:00:36,32771309882,71,70,71,72,65,64,2649600,2649600,2649600,2649600,2.25,4.28,0.00,0.00,93.47,1971144,1711732,
01-01 00:00:37,33867973528,70,70,71,71,65,64,2649600,2649600,2649600,2649600,2.25,2.93,0.23,0.00,94.59,1971144,1711020,
01-01 00:00:38,34966623319,70,71,71,73,65,64,2649600,2649600,2649600,2649600,2.47,5.83,0.00,0.00,91.70,1971144,1710876,
01-01 00:00:39,36069674308,71,70,71,72,65,64,2649600,2649600,2649600,2649600,3.42,11.62,0.00,0.00,84.97,1971144,1711372,
01-01 00:00:40,37165010037,71,70,71,74,65,64,2649600,2649600,2649600,2649600,1.61,3.22,0.00,0.00,95.17,1971144,1711360,
01-01 00:00:41,38261913474,70,70,71,71,65,64,2649600,2649600,2649600,2649600,0.23,4.78,0.00,0.00,94.99,1971144,1711444,
01-01 00:00:42,39358661442,70,70,70,72,65,64,2649600,2649600,2649600,2649600,1.37,3.20,0.00,0.00,95.42,1971144,1711152,
