Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:01:23,80333474656,74,75,75,86,69,68,2649600,2649600,2649600,2649600,16.29,15.61,0.23,0.00,67.87,1971144,1467608,38840
01-01 00:01:24,81461338979,77,75,83,76,69,68,2649600,2649600,2649600,2649600,16.12,16.78,0.65,0.00,66.45,1971144,1467720,38812
01-01 00:01:25,82592785384,75,75,84,76,70,68,2649600,2649600,2649600,2649600,16.96,17.39,0.43,0.00,65.22,1971144,1467940,38660
01-01 00:01:26,83726547415,75,79,84,76,70,68,2649600,2649600,2649600,2649600,21.97,16.43,0.21,0.00,61.40,1971144,1467696,38840
01-01 00:01:28,84859080748,76,76,85,77,70,68,2649600,2649600,2649600,2649600,20.82,13.50,0.00,0.00,65.68,1971144,1471396,39112
01-01 00:01:29,85993419341,75,75,74,85,70,68,2649600,2649600,2649600,2649600,17.54,13.67,0.00,0.00,68.79,1971144,1471404,38824
01-01 00:01:30,87130513143,82,77,73,74,69,68,2649600,2649600,2649600,2649600,18.68,12.53,0.00,0.00,68.79,1971144,1471248,38744
01-01 00:01:31,88272557622,84,77,73,77,70,68,2649600,2649600,2649600,2649600,17.32,15.57,0.22,0.00,66.89,1971144,1471748,38804
01-01 00:01:32,89412865017,74,79,83,76,70,68,2649600,2649600,2649600,2649600,15.18,17.19,0.22,0.00,67.41,1971144,1471340,38840
01-01 00:01:33,90538886684,76,75,84,75,70,68,2649600,2649600,2649600,2649600,21.81,17.90,0.21,0.00,60.08,1971144,1471744,38668
01-01 00:01:34,91670476631,82,76,74,78,69,68,2649600,2649600,2649600,2649600,18.94,11.55,0.23,0.00,69.28,1971144,1471388,38756
01-01 00:01:36,92805176787,75,74,85,77,70,68,2649600,2649600,2649600,2649600,17.01,13.79,0.00,0.00,69.20,1971144,1471740,38648
01-01 00:01:37,93939645068,76,76,74,86,69,68,2649600,2649600,2649600,2649600,17.70,13.10,0.00,0.00,69.20,1971144,1471836,38748
01-01 00:01:38,95077434546,75,75,84,76,70,68,2649600,2649600,2649600,2649600,16.55,13.29,0.00,0.00,70.16,1971144,1471364,38696
01-01 00:01:39,96208955067,75,75,84,75,70,68,2649600,2649600,2649600,2649600,14.97,15.19,0.00,0.00,69.84,1971144,1470992,38896
01-01 00:01:40,97344552514,78,83,73,76,70,68,2649600,2649600,2649600,2649600,12.98,17.45,0.00,0.00,69.57,1971144,1471036,39032
01-01 00:01:41,98476326785,76,75,84,76,70,68,2649600,2649600,2649600,2649600,17.30,14.83,0.00,0.00,67.87,1971144,1471396,38864
01-01 00:01:42,99607995274,84,77,73,73,70,68,2649600,2649600,2649600,2649600,16.85,17.07,0.00,0.00,66.08,1971144,1471556,38980
01-01 00:01:44,100745598450,75,76,77,83,70,68,2649600,2649600,2649600,2649600,17.89,12.84,0.00,0.00,69.27,1971144,1470992,38780
01-01 00:01:45,101881864596,76,83,74,74,70,68,2649600,2649600,2649600,2649600,15.87,14.51,0.23,0.00,69.39,1971144,1471060,38888
01-01 00:01:46,103013988137,76,74,84,75,70,68,2649600,2649600,2649600,2649600,17.12,13.93,0.00,0.00,68.95,1971144,1471052,38828
01-01 00:01:47,104147338762,76,74,84,75,70,68,2649600,2649600,2649600,2649600,15.73,16.18,0.22,0.00,67.87,1971144,1471772,38684
01-01 00:01:48,105281340636,76,75,75,85,69,68,2649600,2649600,2649600,2649600,16.34,17.85,0.65,0.00,65.16,1971144,1471428,38980
01-01 00:01:49,106414952198,75,75,84,75,70,68,2649600,2649600,2649600,2649600,18.65,18.44,0.61,0.00,62.30,1971144,1471632,38896
01-01 00:01:50,107549386417,75,75,76,86,69,68,2649600,2649600,2649600,2649600,16.59,15.70,0.00,0.00,67.71,1971144,1471820,38792
01-01 00:01:51,108683090374,75,83,73,76,70,68,2649600,2649600,2649600,2649600,16.03,13.77,0.00,0.00,70.20,1971144,1471656,38724
01-01 00:01:53,109814257249,77,77,83,77,70,68,2649600,2649600,2649600,2649600,18.28,11.96,0.00,0.00,69.75,1971144,1472084,38156
01-01 00:01:54,110947577978,77,83,74,74,70,68,2649600,2649600,2649600,2649600,16.44,13.96,0.00,0.00,69.59,1971144,1471872,38740
01-01 00:01:55,112082791415,74,75,75,86,69,68,2649600,2649600,2649600,2649600,16.28,15.14,0.00,0.00,68.58,1971144,1471740,38844
01-01 00:01:56,113215920529,81,77,84,80,69,68,2649600,2649600,2649600,2649600,15.21,18.79,0.45,0.00,65.55,1971144,1474980,38876
01-01 00:01:57,114350433133,84,76,74,74,70,68,2649600,2649600,2649600,2649600,15.53,18.09,0.85,0.00,65.53,1971144,1475628,38668
01-01 00:01:58,115490862924,84,77,74,74,70,68,2649600,2649600,2649600,2649600,18.26,19.09,0.00,0.00,62.66,1971144,1475768,38644
01-01 00:01:59,116624998809,79,76,83,76,70,69,2649600,2649600,2649600,2649600,17.42,13.80,0.23,0.00,68.55,1971144,1475620,39016
01-01 00:02:01,117764635319,75,75,76,86,69,68,2649600,2649600,2649600,2649600,16.44,14.84,0.23,0.00,68.49,1971144,1475584,38696
01-01 00:02:02,118899352923,84,77,73,74,70,68,2649600,2649600,2649600,2649600,16.48,14.22,0.00,0.00,69.30,1971144,1475812,38972
01-01 00:02:03,120032256672,77,76,76,86,69,68,2649600,2649600,2649600,2649600,18.35,12.61,0.00,0.00,69.04,1971144,1475764,38680
01-01 00:02:04,121167156047,84,77,74,73,70,68,2649600,2649600,2649600,2649600,16.23,16.67,0.00,0.00,67.11,1971144,1475852,38692
01-01 00:02:05,122297755890,74,75,76,86,69,68,2649600,2649600,2649600,2649600,18.30,16.56,0.65,0.00,64.49,1971144,1475708,38604
01-01 00:02:06,123428050421,84,76,73,74,70,68,2649600,2649600,2649600,2649600,17.69,13.15,0.23,0.00,68.93,1971144,1475520,38752
01-01 00:02:07,124558180160,84,78,74,74,70,68,2649600,2649600,2649600,2649600,16.28,14.45,0.00,0.00,69.27,1971144,1475732,38720
01-01 00:02:08,125689257399,76,76,83,76,70,68,2649600,2649600,2649600,2649600,16.03,15.12,0.00,0.00,68.85,1971144,1475748,38824
01-01 00:02:10,126823442555,77,84,73,74,70,68,2649600,2649600,2649600,2649600,16.96,14.96,0.00,0.00,68.08,1971144,1475896,38856
01-01 00:02:11,127957144534,78,84,73,73,70,68,2649600,2649600,2649600,2649600,16.97,14.48,0.00,0.00,68.55,1971144,1475804,38936
01-01 00:02:12,129090168804,78,84,74,76,69,68,2649600,2649600,2649600,2649600,15.74,16.85,0.00,0.00,67.41,1971144,1476020,38976
01-01 00:02:13,130222731720,78,74,84,75,70,68,2649600,2649600,2649600,2649600,17.41,15.85,0.00,0.00,66.74,1971144,1475896,38888
01-01 00:02:14,131356019012,76,83,73,75,70,68,2649600,2649600,2649600,2649600,17.76,18.18,0.00,0.00,64.06,1971144,1475980,38760
01-01 00:02:15,132492129376,76,73,84,76,70,68,2649600,2649600,2649600,2649600,17.08,13.90,0.23,0.00,68.79,1971144,1475928,38752
01-01 00:02:16,133631178021,74,74,74,86,69,68,2649600,2649600,2649600,2649600,16.74,14.48,0.23,0.00,68.55,1971144,1476008,38896
01-01 00:02:18,134764245625,84,76,74,73,70,68,2649600,2649600,2649600,2649600,16.15,15.49,0.00,0.00,68.36,1971144,1475688,38808
01-01 00:02:19,135890769427,84,76,73,73,70,68,2649600,2649600,2649600,2649600,15.19,14.97,0.23,0.00,69.61,1971144,1475840,38920
01-01 00:02:20,137018010260,83,77,73,74,69,68,2649600,2649600,2649600,2649600,15.54,16.41,0.44,0.00,67.61,1971144,1475060,38656
01-01 00:02:21,138147811926,78,75,74,85,69,68,2649600,2649600,2649600,2649600,15.78,17.33,0.22,0.00,66.67,1971144,1475840,38892
01-01 00:02:22,139281966717,76,83,73,74,69,68,2649600,2649600,2649600,2649600,16.57,22.02,0.00,0.00,61.41,1971144,1475804,38820
01-01 00:02:23,140419414425,84,77,73,74,70,68,2649600,2649600,2649600,2649600,16.82,14.80,0.00,0.00,68.39,1971144,1475428,38884
01-01 00:02:24,141553455935,84,75,73,73,70,68,2649600,2649600,2649600,2649600,15.18,15.85,0.22,0.00,68.75,1971144,1475528,38812
01-01 00:02:25,142687654320,84,75,73,73,70,68,2649600,2649600,2649600,2649600,15.58,13.09,0.00,0.00,71.33,1971144,1475424,38788
