Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:25,22249669001,36,38,37,37,34,34,2649600,2649600,2649600,2649600,4.55,9.33,0.00,0.00,86.12,1971144,1743808,
01-01 00:00:26,23349351709,35,37,36,36,34,33,2649600,2649600,2649600,2649600,0.45,5.18,0.00,0.00,94.37,1971144,1743580,
01-01 00:00:27,24445998011,36,37,36,37,34,33,2649600,2649600,2649600,2649600,1.84,12.67,0.00,0.00,85.48,1971144,1724816,
01-01 00:00:28,25542286292,35,36,36,36,33,33,2649600,2649600,2649600,2649600,1.39,3.94,0.00,0.00,94.66,1971144,1724920,
01-01 00:00:29,26640515302,35,36,36,36,33,33,2649600,2649600,2649600,2649600,0.46,3.45,0.00,0.00,96.09,1971144,1725704,
01-01 00:00:30,27736966395,35,36,36,36,33,33,2649600,2649600,2649600,2649600,4.64,7.66,0.00,0.00,87.70,1971144,1718832,
01-01 00:00:31,28832914259,34,36,35,36,33,33,2649600,2649600,2649600,2649600,0.23,3.00,0.00,0.00,96.77,1971144,1719000,
01-01 00:00:32,29933179780,36,44,36,36,33,33,2649600,2649600,2649600,2649600,4.08,4.08,0.00,0.00,91.84,1971144,1718588,
01-01 00:00:33,31031122904,35,36,35,36,33,33,2649600,2649600,2649600,2649600,1.82,3.19,0.00,0.00,94.99,1971144,1718964,
01-01 00:00:35,32127628633,34,36,36,36,33,33,2649600,2649600,2649600,2649600,2.00,4.89,0.00,0.00,93.11,1971144,1718656,
01-01 00:00:36,33228289362,34,36,35,35,33,33,2649600,2649600,2649600,2649600,2.01,4.47,0.00,0.00,93.51,1971144,1718416,
01-01 00:00:37,34323366080,34,36,35,35,33,33,2649600,2649600,2649600,2649600,0.89,5.15,0.22,0.00,93.74,1971144,1718596,
01-01 00:00:38,35419918788,34,36,35,35,33,33,2649600,2649600,2649600,2649600,1.12,6.29,0.00,0.00,92.58,1971144,1718108,
01-01 00:00:39,36527134829,34,36,35,36,33,33,2649600,2649600,2649600,2649600,1.37,2.97,0.00,0.00,95.65,1971144,1718068,
