Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:26,22874886032,37,38,38,38,34,34,2649600,2649600,2649600,2649600,9.45,9.95,0.00,0.00,80.60,1971144,1736004,
01-01 00:00:27,23971203010,37,39,37,37,34,33,2649600,2649600,2649600,2649600,0.23,3.93,0.00,0.00,95.84,1971144,1735404,
01-01 00:00:28,25067638583,40,40,40,41,33,33,2649600,2649600,2649600,2649600,1.64,14.79,0.00,0.00,83.57,1971144,1715748,
01-01 00:00:29,26175386291,36,37,36,37,34,33,2649600,2649600,2649600,2649600,4.15,8.99,0.00,0.00,86.87,1971144,1717304,
01-01 00:00:30,27275857176,35,36,36,36,33,33,2649600,2649600,2649600,2649600,0.00,3.46,0.00,0.00,96.54,1971144,1718328,
01-01 00:00:31,28372473842,35,37,36,37,33,33,2649600,2649600,2649600,2649600,4.66,5.83,0.00,0.00,89.51,1971144,1711036,
01-01 00:00:33,29477266758,34,36,35,36,33,33,2649600,2649600,2649600,2649600,0.23,5.01,0.23,0.00,94.53,1971144,1710644,
01-01 00:00:34,30582537747,35,36,36,36,33,33,2649600,2649600,2649600,2649600,3.88,11.19,0.00,0.00,84.93,1971144,1710620,
01-01 00:00:35,31679631341,36,36,36,37,33,33,2649600,2649600,2649600,2649600,1.15,2.76,0.00,0.00,96.08,1971144,1710496,
01-01 00:00:36,32774933528,34,36,36,36,33,33,2649600,2649600,2649600,2649600,0.46,2.78,0.00,0.00,96.75,1971144,1710800,
01-01 00:00:37,33873153892,34,36,35,36,33,33,2649600,2649600,2649600,2649600,0.45,4.31,0.00,0.00,95.24,1971144,1710764,
01-01 00:00:38,34971249985,34,37,36,37,33,33,2649600,2649600,2649600,2649600,0.00,5.08,0.00,0.00,94.92,1971144,1709840,
01-01 00:00:39,36075212850,35,36,36,36,33,33,2649600,2649600,2649600,2649600,2.06,12.39,0.00,0.00,85.55,1971144,1711100,
01-01 00:00:40,37183778891,35,36,36,36,33,33,2649600,2649600,2649600,2649600,0.92,3.67,0.00,0.00,95.41,1971144,1710708,
01-01 00:00:41,38279172849,34,36,35,36,33,33,2649600,2649600,2649600,2649600,0.00,3.67,0.23,0.00,96.10,1971144,1710440,
01-01 00:00:42,39375289723,38,42,37,41,33,34,2649600,2649600,2649600,2649600,3.60,11.01,0.00,0.00,85.39,1971144,1690864,23984
01-01 00:00:44,40551067171,41,42,44,41,34,34,2649600,2649600,2649600,2649600,29.80,37.97,0.00,0.00,32.23,1971144,1584160,23984
01-01 00:00:45,41669850087,43,44,42,44,35,35,2649600,2649600,2649600,2649600,16.48,29.23,2.64,0.00,51.65,1971144,1514492,23984
01-01 00:00:46,42836321128,45,46,46,46,35,35,2649600,2649600,2649600,2649600,22.62,32.15,0.67,0.00,44.57,1971144,1475800,34140
01-01 00:00:47,43967444513,41,47,40,40,36,35,2649600,2649600,2649600,2649600,25.95,30.43,0.89,0.00,42.73,1971144,1468504,38928
01-01 00:00:48,45100557638,41,41,46,43,36,35,2649600,2649600,2649600,2649600,19.49,25.75,0.46,0.00,54.29,1971144,1471180,38804
01-01 00:00:49,46236129512,40,41,39,46,36,35,2649600,2649600,2649600,2649600,15.02,17.49,0.22,0.00,67.26,1971144,1472024,38872
01-01 00:00:50,47358843262,40,40,46,41,36,35,2649600,2649600,2649600,2649600,19.77,15.68,0.00,0.00,64.55,1971144,1475060,38856
01-01 00:00:52,48493617689,40,40,46,40,36,35,2649600,2649600,2649600,2649600,22.07,12.64,0.00,0.00,65.29,1971144,1476248,38516
01-01 00:00:53,49649130032,40,39,46,40,36,35,2649600,2649600,2649600,2649600,14.01,20.81,1.06,0.00,64.12,1971144,1475672,38580
01-01 00:00:54,50786365396,41,40,45,41,36,35,2649600,2649600,2649600,2649600,19.87,13.69,0.00,0.00,66.45,1971144,1476140,38748
01-01 00:00:55,51924022948,43,46,44,45,36,35,2649600,2649600,2649600,2649600,19.63,18.95,0.00,0.00,61.42,1971144,1455692,39100
01-01 00:00:56,53063869041,45,42,41,40,36,35,2649600,2649600,2649600,2649600,16.82,17.04,0.22,0.00,65.92,1971144,1456016,38980
01-01 00:00:57,54202657426,40,40,46,41,36,35,2649600,2649600,2649600,2649600,19.83,18.53,0.22,0.00,61.42,1971144,1455856,38956
01-01 00:00:58,55334432894,43,44,39,40,36,35,2649600,2649600,2649600,2649600,17.32,14.78,0.00,0.00,67.90,1971144,1454960,38944
01-01 00:01:00,56468950446,40,40,46,42,36,35,2649600,2649600,2649600,2649600,17.24,15.86,0.00,0.00,66.90,1971144,1454684,39064
01-01 00:01:01,57605197164,41,46,40,43,36,35,2649600,2649600,2649600,2649600,21.18,20.00,1.37,0.00,57.45,1971144,1454848,39276
01-01 00:01:02,58753618310,40,40,40,47,36,35,2649600,2649600,2649600,2649600,19.72,13.76,0.23,0.00,66.28,1971144,1454552,39000
01-01 00:01:03,59912383934,45,41,39,39,36,35,2649600,2649600,2649600,2649600,16.59,15.52,0.00,0.00,67.89,1971144,1454880,38908
01-01 00:01:04,61044508257,40,39,40,46,36,35,2649600,2649600,2649600,2649600,20.62,11.31,0.00,0.00,68.07,1971144,1454884,38856
01-01 00:01:05,62179442787,40,41,41,46,36,35,2649600,2649600,2649600,2649600,18.72,12.56,0.00,0.00,68.72,1971144,1455016,38916
01-01 00:01:06,63312199454,40,43,46,40,36,35,2649600,2649600,2649600,2649600,16.63,16.19,0.00,0.00,67.18,1971144,1454936,38904
01-01 00:01:08,64446123880,41,39,46,40,37,35,2649600,2649600,2649600,2649600,19.53,16.56,0.21,0.00,63.69,1971144,1454792,38960
01-01 00:01:09,65583699036,41,47,40,41,36,35,2649600,2649600,2649600,2649600,14.93,16.06,0.00,0.00,69.00,1971144,1455448,38884
01-01 00:01:10,66729507838,45,41,40,39,37,35,2649600,2649600,2649600,2649600,16.63,15.14,0.64,0.00,67.59,1971144,1454732,38884
01-01 00:01:11,67859346744,43,47,39,40,36,35,2649600,2649600,2649600,2649600,17.12,15.54,0.00,0.00,67.34,1971144,1454856,38680
01-01 00:01:12,68994345441,41,47,41,40,37,35,2649600,2649600,2649600,2649600,16.78,14.25,0.00,0.00,68.97,1971144,1454660,38948
01-01 00:01:13,70130569712,45,41,39,40,37,36,2649600,2649600,2649600,2649600,18.32,14.79,0.00,0.00,66.89,1971144,1454636,39104
01-01 00:01:14,71260385597,40,40,41,48,36,35,2649600,2649600,2649600,2649600,17.83,17.83,0.42,0.00,63.91,1971144,1454716,38984
01-01 00:01:15,72393058513,42,44,47,45,37,36,2649600,2649600,2649600,2649600,16.33,15.19,0.00,0.00,68.48,1971144,1457860,38868
01-01 00:01:17,73527040127,41,41,47,41,37,36,2649600,2649600,2649600,2649600,16.67,21.79,0.21,0.00,61.32,1971144,1457928,38956
01-01 00:01:18,74662475387,40,40,47,44,37,36,2649600,2649600,2649600,2649600,16.18,16.18,0.00,0.00,67.64,1971144,1458200,38924
01-01 00:01:19,75797172105,43,41,47,42,38,36,2649600,2649600,2649600,2649600,16.25,14.87,0.00,0.00,68.88,1971144,1457944,38864
01-01 00:01:20,76928911219,42,48,40,40,37,36,2649600,2649600,2649600,2649600,16.34,16.34,0.00,0.00,67.33,1971144,1457744,38852
01-01 00:01:21,78062102417,46,41,40,41,37,36,2649600,2649600,2649600,2649600,17.54,16.45,0.00,0.00,66.01,1971144,1457972,38788
01-01 00:01:22,79199287625,43,48,41,41,37,36,2649600,2649600,2649600,2649600,16.52,14.93,0.00,0.00,68.55,1971144,1457708,38948
01-01 00:01:23,80336322728,42,47,41,41,38,36,2649600,2649600,2649600,2649600,18.09,17.45,0.00,0.00,64.47,1971144,1458284,39064
01-01 00:01:25,81475475853,40,41,41,48,37,36,2649600,2649600,2649600,2649600,16.89,13.29,0.00,0.00,69.82,1971144,1458220,38968
01-01 00:01:26,82608694082,46,41,40,41,38,36,2649600,2649600,2649600,2649600,17.12,13.93,0.00,0.00,68.95,1971144,1458520,39020
01-01 00:01:27,83743317623,41,41,48,42,38,37,2649600,2649600,2649600,2649600,17.14,15.60,0.00,0.00,67.25,1971144,1458368,38948
