Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:25,22302933689,42,43,43,42,39,38,2649600,2649600,2649600,2649600,8.31,13.94,0.00,0.00,77.75,1971144,1743908,
01-01 00:00:26,23400192282,40,41,41,41,38,38,2649600,2649600,2649600,2649600,0.23,3.90,0.23,0.00,95.64,1971144,1743364,
01-01 00:00:27,24495755146,41,42,42,43,38,37,2649600,2649600,2649600,2649600,1.44,10.07,0.00,0.00,88.49,1971144,1724800,
01-01 00:00:28,25592364729,40,41,40,41,38,37,2649600,2649600,2649600,2649600,1.81,4.99,0.00,0.00,93.20,1971144,1724892,
01-01 00:00:29,26689313166,40,41,40,40,38,37,2649600,2649600,2649600,2649600,0.47,2.56,0.00,0.00,96.98,1971144,1725232,
01-01 00:00:30,27786349364,40,41,40,41,38,37,2649600,2649600,2649600,2649600,4.88,6.74,0.00,0.00,88.37,1971144,1719032,
01-01 00:00:31,28881768738,39,40,40,40,38,37,2649600,2649600,2649600,2649600,0.23,4.78,0.00,0.00,94.99,1971144,1718320,
01-01 00:00:32,29978164623,39,40,40,41,38,37,2649600,2649600,2649600,2649600,0.23,4.56,0.00,0.00,95.22,1971144,1718196,
01-01 00:00:33,31075506394,40,40,40,40,38,37,2649600,2649600,2649600,2649600,0.23,3.00,0.00,0.00,96.77,1971144,1718460,
01-01 00:00:34,32174801029,39,40,40,40,38,37,2649600,2649600,2649600,2649600,0.46,4.10,0.00,0.00,95.44,1971144,1718840,
01-01 00:00:36,33271107434,39,40,40,40,38,37,2649600,2649600,2649600,2649600,0.23,3.02,0.00,0.00,96.75,1971144,1718652,
01-01 00:00:37,34367296340,39,40,40,40,38,38,2649600,2649600,2649600,2649600,0.23,3.45,0.00,0.00,96.32,1971144,1719116,
01-01 00:00:38,35463660715,39,40,40,41,38,38,2649600,2649600,2649600,2649600,0.23,3.90,0.00,0.00,95.87,1971144,1719004,
01-01 00:00:39,36559870975,40,41,40,41,38,38,2649600,2649600,2649600,2649600,0.23,4.39,0.00,0.00,95.38,1971144,1718328,
01-01 00:00:40,37656253579,40,40,40,41,38,38,2649600,2649600,2649600,2649600,0.92,3.44,0.23,0.00,95.41,1971144,1718404,
